,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.7898952484130859,0.14287887408256653,0.3227250576019287,0.055823382446390644,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
1,0.6835743427276612,0.028121622157369942,0.12366786003112792,0.007998731955167262,0.01,scale,sigmoid,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.42363636363636364,0.44,0.45454545454545453,0.4254545454545455,0.4444444444444444,0.43761616161616157,0.011681170747211398,199,0.4356525693497044,0.43610732150977716,0.43383356070941337,0.4506593906321055,0.4431818181818182,0.43988693207656376,0.006257167512945141
2,1.1473198890686036,0.03594361073695624,0.3666295051574707,0.031685926723401786,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
3,0.5754655838012696,0.012654261458708432,0.12248249053955078,0.020444669947071222,0.01,auto,sigmoid,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.3145454545454546,0.32727272727272727,0.3290909090909091,0.32181818181818184,0.34972677595628415,0.32849080973671135,0.011762712273555477,292,0.32605729877216916,0.32833105957253295,0.3369713506139154,0.31832651205093226,0.3327272727272727,0.32848269874736447,0.006310741738880154
4,0.6917372226715088,0.06369303534901034,0.30100393295288086,0.09362734391048143,0.0301010101010101,scale,rbf,"{'C': 0.0301010101010101, 'gamma': 'scale', 'kernel': 'rbf'}",0.4636363636363636,0.48363636363636364,0.48545454545454547,0.4618181818181818,0.4681238615664845,0.47253386322238783,0.010036423528643512,198,0.4865848112778536,0.48249204183719874,0.4874943155979991,0.4811277853569804,0.4763636363636364,0.48281251808673364,0.004016927401185562
5,0.539563512802124,0.013641973579808961,0.12067294120788574,0.011682849041253399,0.0301010101010101,scale,sigmoid,"{'C': 0.0301010101010101, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.610909090909091,0.5963636363636363,0.5981818181818181,0.6036363636363636,0.6247723132969034,0.6067726444775625,0.010325543768355861,196,0.613005911778081,0.613005911778081,0.616643929058663,0.6175534333788085,0.605909090909091,0.6132236553805448,0.004099827496550555
6,1.0531768798828125,0.03202564033123349,0.301412296295166,0.0070970729135318615,0.0301010101010101,auto,rbf,"{'C': 0.0301010101010101, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
7,0.4851034641265869,0.013845208598169012,0.11091122627258301,0.006530113555008933,0.0301010101010101,auto,sigmoid,"{'C': 0.0301010101010101, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.3018181818181818,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.3533697632058288,0.31649213445934754,0.018652714542080607,297,0.30241018644838563,0.31832651205093226,0.32287403365165984,0.31150522964984084,0.315,0.3140231923601637,0.006913930106835343
8,0.6724082469940186,0.06591311015230059,0.3386899471282959,0.056682864017289086,0.050202020202020206,scale,rbf,"{'C': 0.050202020202020206, 'gamma': 'scale', 'kernel': 'rbf'}",0.6090909090909091,0.5854545454545454,0.6,0.6072727272727273,0.6010928961748634,0.600582215598609,0.008325947213972026,197,0.6189176898590268,0.6193724420190996,0.6257389722601182,0.6189176898590268,0.6213636363636363,0.6208620860721815,0.0026006139374112783
9,0.4641566276550293,0.02888878850199639,0.09972658157348632,0.00459422608431663,0.050202020202020206,scale,sigmoid,"{'C': 0.050202020202020206, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6563636363636364,0.6436363636363637,0.6272727272727273,0.6327272727272727,0.6557377049180327,0.6431475409836065,0.011781409537612197,194,0.6543883583447021,0.648931332423829,0.652569349704411,0.6552978626648477,0.649090909090909,0.6520555624457398,0.0026369834094409064
10,1.0679264545440674,0.04594118651326172,0.32913832664489745,0.08453761947335132,0.050202020202020206,auto,rbf,"{'C': 0.050202020202020206, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
11,0.444002628326416,0.00958158863208631,0.0963437557220459,0.004211313840187788,0.050202020202020206,auto,sigmoid,"{'C': 0.050202020202020206, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.3054545454545455,0.31272727272727274,0.30363636363636365,0.32727272727272727,0.3460837887067395,0.3190349395595297,0.01587974365014231,295,0.30241018644838563,0.296043656207367,0.2892223738062756,0.2955889040472942,0.2990909090909091,0.29647120592004633,0.0043735833542881035
12,0.5519259929656982,0.026860361909737295,0.2485487461090088,0.007711293321707688,0.0703030303030303,scale,rbf,"{'C': 0.0703030303030303, 'gamma': 'scale', 'kernel': 'rbf'}",0.6545454545454545,0.6290909090909091,0.6236363636363637,0.6436363636363637,0.6429872495446266,0.6387792680907435,0.011072876553130806,195,0.6653024101864484,0.662119145065939,0.6671214188267395,0.6589358799454298,0.6645454545454546,0.6636048617140022,0.0028333479959800458
13,0.396541166305542,0.022392545175481664,0.0951566219329834,0.0033201143826034267,0.0703030303030303,scale,sigmoid,"{'C': 0.0703030303030303, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6527272727272727,0.6818181818181818,0.6472727272727272,0.6381818181818182,0.6794171220400729,0.6598834244080146,0.0175721303645072,163,0.683037744429286,0.6762164620281946,0.6816734879490678,0.683037744429286,0.6631818181818182,0.6774294514035304,0.007554920822489792
14,1.0571762561798095,0.03702775277211741,0.28641552925109864,0.004344626758995357,0.0703030303030303,auto,rbf,"{'C': 0.0703030303030303, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
15,0.4404143810272217,0.006486028821175241,0.09575390815734863,0.002762158209157904,0.0703030303030303,auto,sigmoid,"{'C': 0.0703030303030303, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.2818181818181818,0.3109090909090909,0.3181818181818182,0.3290909090909091,0.33879781420765026,0.31575956284153006,0.019441695211593106,298,0.2878581173260573,0.2955889040472942,0.28285584356525695,0.28512960436562074,0.2781818181818182,0.28592285749720947,0.00578164684472438
16,0.5279979228973388,0.047206260378815285,0.28005447387695315,0.032574295648254085,0.0904040404040404,scale,rbf,"{'C': 0.0904040404040404, 'gamma': 'scale', 'kernel': 'rbf'}",0.66,0.6636363636363637,0.649090909090909,0.6563636363636364,0.6484517304189436,0.6555085279019706,0.005965743335652558,185,0.7057753524329241,0.6889495225102319,0.6921327876307413,0.6953160527512505,0.685,0.6934347430650296,0.007053894635696668
17,0.4058955192565918,0.0417179804609915,0.11809253692626953,0.014360955818492614,0.0904040404040404,scale,sigmoid,"{'C': 0.0904040404040404, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6636363636363637,0.6836363636363636,0.6545454545454545,0.6563636363636364,0.692167577413479,0.6700698791190595,0.015116988736832926,150,0.6880400181900864,0.6857662573897226,0.6884947703501592,0.6934970441109596,0.6759090909090909,0.6863414361900037,0.005794642564424837
18,1.087091064453125,0.0742535139279113,0.33988637924194337,0.08439321251523943,0.0904040404040404,auto,rbf,"{'C': 0.0904040404040404, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
19,0.4448100090026855,0.03933641530432542,0.13165078163146973,0.04209068644080067,0.0904040404040404,auto,sigmoid,"{'C': 0.0904040404040404, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.28,0.2818181818181818,0.3,0.32727272727272727,0.3424408014571949,0.30630634210962077,0.024806257434770006,299,0.28876762164620284,0.27967257844474763,0.27330604820372895,0.28876762164620284,0.27045454545454545,0.28019368307908554,0.007610344420475231
20,0.47553253173828125,0.014213301993275817,0.25591249465942384,0.028582479635494103,0.11050505050505051,scale,rbf,"{'C': 0.11050505050505051, 'gamma': 'scale', 'kernel': 'rbf'}",0.66,0.6781818181818182,0.6636363636363637,0.6618181818181819,0.6703096539162113,0.6667892035105151,0.006677274599005715,155,0.7162346521145976,0.7121418826739427,0.7121418826739427,0.7116871305138699,0.6986363636363636,0.7101683823225433,0.005998051142012595
21,0.3618175029754639,0.014587861137676992,0.0919654369354248,0.0016023673353910777,0.11050505050505051,scale,sigmoid,"{'C': 0.11050505050505051, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6654545454545454,0.6854545454545454,0.6563636363636364,0.6636363636363637,0.6867030965391621,0.6715224374896506,0.012274809714779605,144,0.6889495225102319,0.6898590268303775,0.6921327876307413,0.6948613005911778,0.6804545454545454,0.6892514366034147,0.004850121021015758
22,1.0725265502929688,0.028438473522225963,0.2862536430358887,0.004379580032948583,0.11050505050505051,auto,rbf,"{'C': 0.11050505050505051, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
23,0.3909468650817871,0.017738491002607916,0.11230425834655762,0.021075989984503548,0.11050505050505051,auto,sigmoid,"{'C': 0.11050505050505051, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.28909090909090907,0.32,0.31272727272727274,0.3381818181818182,0.331511839708561,0.3183023679417122,0.017070182516045827,296,0.30286493860845837,0.2951341518872215,0.2924056389267849,0.30604820372896774,0.2759090909090909,0.2944724048121047,0.010523685643010813
24,0.45938663482666015,0.02886521838773253,0.2856424808502197,0.09425156572737685,0.13060606060606061,scale,rbf,"{'C': 0.13060606060606061, 'gamma': 'scale', 'kernel': 'rbf'}",0.6745454545454546,0.6872727272727273,0.6672727272727272,0.6690909090909091,0.6721311475409836,0.6740625931445604,0.007061036776890828,139,0.7212369258753979,0.7198726693951796,0.7203274215552524,0.7216916780354706,0.7090909090909091,0.718443920790442,0.004720519676590824
25,0.33310418128967284,0.020282303569961174,0.08754868507385254,0.002207577372709652,0.13060606060606061,scale,sigmoid,"{'C': 0.13060606060606061, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6709090909090909,0.6818181818181818,0.6581818181818182,0.6581818181818182,0.6885245901639344,0.6715230998509687,0.012258841590504634,143,0.6921327876307413,0.6880400181900864,0.692587539790814,0.6980445657116872,0.6854545454545454,0.6912518913555749,0.004304084307392501
26,1.0296372890472412,0.03937631955685249,0.3205431938171387,0.06398537511432738,0.13060606060606061,auto,rbf,"{'C': 0.13060606060606061, 'gamma': 'auto', 'kernel': 'rbf'}",0.11636363636363636,0.11636363636363636,0.11636363636363636,0.11818181818181818,0.11657559198542805,0.11676966385163108,0.0007108331315491141,300,0.11687130513869941,0.11687130513869941,0.11687130513869941,0.11641655297862664,0.11681818181818182,0.11676973004258133,0.00017778307766302314
27,0.3562307357788086,0.03828999441556646,0.0909501075744629,0.001728593309658414,0.13060606060606061,auto,sigmoid,"{'C': 0.13060606060606061, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.2963636363636364,0.34,0.32727272727272727,0.3327272727272727,0.34972677595628415,0.3292180824639841,0.01806858990734651,290,0.30923146884947705,0.2896771259663483,0.3119599818099136,0.3165075034106412,0.2731818181818182,0.30011157964363966,0.016287867909140125
