,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
178,0.1274782657623291,0.004154798848533901,0.029232215881347657,0.0010758349240398786,0.9444444444444443,3,"{'C': 0.9444444444444443, 'degree': 3}",0.6843065693430657,0.698905109489051,0.7062043795620438,0.7020109689213894,0.716636197440585,0.701612644951227,0.010524075440210534,111,0.8059360730593608,0.8132420091324201,0.8054794520547945,0.8124144226380648,0.8060246462802373,0.8086193206329755,0.003451462745510811
179,0.15507917404174804,0.004332399319740135,0.031232357025146484,0.0004066301384041272,0.9444444444444443,4,"{'C': 0.9444444444444443, 'degree': 4}",0.6441605839416058,0.677007299270073,0.6532846715328468,0.676416819012797,0.6873857404021938,0.6676510228319034,0.01619895637353381,348,0.7849315068493151,0.7963470319634703,0.7917808219178082,0.7955271565495208,0.7882245549977179,0.7913622144555664,0.004325951632440365
180,0.08829188346862793,0.0006337422903169873,0.030035638809204103,0.000795680358954019,0.9636363636363635,1,"{'C': 0.9636363636363635, 'degree': 1}",0.6916058394160584,0.6824817518248175,0.7208029197080292,0.6928702010968921,0.7111517367458866,0.6997824897583367,0.01403617562398796,180,0.7502283105022831,0.7639269406392694,0.7470319634703196,0.7544500228206299,0.7535371976266545,0.7538348870118312,0.005685133600598622
181,0.11253581047058106,0.006610699496369652,0.030631589889526366,0.0019346836451820787,0.9636363636363635,2,"{'C': 0.9636363636363635, 'degree': 2}",0.698905109489051,0.6861313868613139,0.7153284671532847,0.7038391224862889,0.7038391224862889,0.7016086416952455,0.009434386077555616,117,0.7899543378995434,0.7954337899543379,0.791324200913242,0.7886809675947056,0.7882245549977179,0.7907235702719093,0.0025905963832408324
182,0.1280902862548828,0.009129655672292927,0.030223560333251954,0.0015300589720274238,0.9636363636363635,3,"{'C': 0.9636363636363635, 'degree': 3}",0.6843065693430657,0.698905109489051,0.7025547445255474,0.7020109689213894,0.716636197440585,0.7008827179439276,0.010304565755509056,139,0.8068493150684931,0.8136986301369863,0.8059360730593608,0.8128708352350524,0.8092195344591511,0.8097148775918088,0.0031166177204048746
183,0.15146327018737793,0.005108293838547814,0.030723047256469727,0.0007483455744929726,0.9636363636363635,4,"{'C': 0.9636363636363635, 'degree': 4}",0.6441605839416058,0.677007299270073,0.6551094890510949,0.676416819012797,0.6873857404021938,0.6680159863355529,0.015888756817891897,346,0.7872146118721461,0.7981735159817351,0.7926940639269406,0.7968963943404838,0.7877681424007302,0.7925493457044072,0.004513720341556168
184,0.08422484397888183,0.0010741579815998186,0.02912745475769043,0.0005095912685598728,0.9828282828282827,1,"{'C': 0.9828282828282827, 'degree': 1}",0.6970802919708029,0.6824817518248175,0.7226277372262774,0.6928702010968921,0.7093235831809872,0.7008767130599555,0.013866133656276107,152,0.7511415525114156,0.7648401826484018,0.7474885844748859,0.7530807850296668,0.7530807850296668,0.7539263779388075,0.0058265191207152464
185,0.10450940132141114,0.0026646151031272393,0.028828763961791994,0.0009169896264605094,0.9828282828282827,2,"{'C': 0.9828282828282827, 'degree': 2}",0.698905109489051,0.6861313868613139,0.7135036496350365,0.7038391224862889,0.7020109689213894,0.7008780474786159,0.00884097041824401,150,0.7904109589041096,0.7972602739726027,0.7917808219178082,0.7914194431766317,0.7900502053856686,0.7921843406713641,0.002615813859991694
186,0.12550568580627441,0.002712652153768049,0.030525398254394532,0.0012356610432335726,0.9828282828282827,3,"{'C': 0.9828282828282827, 'degree': 3}",0.6843065693430657,0.7025547445255474,0.7025547445255474,0.7020109689213894,0.7184643510054844,0.7019782756642069,0.010814301512388106,106,0.8073059360730593,0.8164383561643835,0.806392694063927,0.8137836604290278,0.8087631218621634,0.8105367537185122,0.0039020122413106757
187,0.16344399452209474,0.006354365454285975,0.03173842430114746,0.00024355620045130348,0.9828282828282827,4,"{'C': 0.9828282828282827, 'degree': 4}",0.6441605839416058,0.677007299270073,0.6496350364963503,0.676416819012797,0.6873857404021938,0.666921095824604,0.01689704521372456,351,0.7890410958904109,0.8,0.7940639269406393,0.7996348699224098,0.7900502053856686,0.7945580196278257,0.004612819607019674
188,0.09629054069519043,0.008749309467920668,0.03003091812133789,0.0008016786685130134,1.002020202020202,1,"{'C': 1.002020202020202, 'degree': 1}",0.6952554744525548,0.6806569343065694,0.7244525547445255,0.6946983546617916,0.7093235831809872,0.7008773802692858,0.014871313409144639,151,0.7534246575342466,0.7634703196347032,0.7479452054794521,0.7549064354176175,0.7535371976266545,0.7546567631385349,0.005011140224036787
189,0.10609073638916015,0.0032847421120752733,0.03074946403503418,0.0028675817317355,1.002020202020202,2,"{'C': 1.002020202020202, 'degree': 2}",0.6970802919708029,0.6916058394160584,0.7116788321167883,0.7020109689213894,0.70018281535649,0.7005117495563058,0.006605296752036955,162,0.7899543378995434,0.7968036529680366,0.7926940639269406,0.7950707439525331,0.7914194431766317,0.7931884483847371,0.002467630719232862
190,0.12555384635925293,0.003957801407723496,0.030051279067993163,0.000805622840543845,1.002020202020202,3,"{'C': 1.002020202020202, 'degree': 3}",0.6843065693430657,0.7025547445255474,0.7025547445255474,0.7020109689213894,0.716636197440585,0.701612644951227,0.010267824964976453,111,0.8095890410958904,0.8164383561643835,0.8077625570776256,0.8146964856230032,0.8092195344591511,0.8115411948840107,0.0033887213950465163
191,0.1615567684173584,0.010016200523664927,0.03161954879760742,0.0006074661544924039,1.002020202020202,4,"{'C': 1.002020202020202, 'degree': 4}",0.6459854014598541,0.677007299270073,0.6496350364963503,0.676416819012797,0.6873857404021938,0.6672860593282536,0.01641430528737905,349,0.7908675799086758,0.8031963470319635,0.7958904109589041,0.8014605203103605,0.7932450935645824,0.7969319903548973,0.004716034727943883
192,0.10030055046081543,0.007824511331050743,0.029372406005859376,0.0012839596751757487,1.0212121212121212,1,"{'C': 1.0212121212121212, 'degree': 1}",0.6952554744525548,0.6788321167883211,0.7208029197080292,0.6928702010968921,0.7038391224862889,0.6983199669064172,0.01381891174150967,221,0.754337899543379,0.7648401826484018,0.7479452054794521,0.7544500228206299,0.7539936102236422,0.7551133841431009,0.00544589226400909
