,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.034299373626708984,0.0035874667100363826,0.5868138313293457,0.09179499153949185,ball_tree,100,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 100, 'weights': 'uniform'}",0.5875912408759124,0.6934306569343066,0.7098540145985401,0.7062043795620438,0.696526508226691,0.6787213600394988,0.045962253812984674,25,0.7398448197170242,0.700593336376084,0.7083523505248744,0.6978548607941579,0.6838503649635036,0.7060991464751287,0.018639409116314853
1,0.036894369125366214,0.0058118551083765155,0.558500099182129,0.07861978445071885,ball_tree,110,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 110, 'weights': 'uniform'}",0.5875912408759124,0.6897810218978102,0.698905109489051,0.7062043795620438,0.7074954296160878,0.677995436288181,0.045639954199458356,28,0.734367868553172,0.6969420356001825,0.7065267001369238,0.7015061615700593,0.6843065693430657,0.7047298670406807,0.016551697358171625
2,0.046465396881103516,0.01339868265914557,0.6187657833099365,0.12479948094110711,ball_tree,120,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 120, 'weights': 'uniform'}",0.6021897810218978,0.6916058394160584,0.7007299270072993,0.7062043795620438,0.7074954296160878,0.6816450713246774,0.040119801643049104,13,0.7357371063441351,0.6928343222272935,0.701962574167047,0.7010497489730717,0.6829379562043796,0.7029043415831854,0.01778976512709755
3,0.034112071990966795,0.0023063463492336814,0.5604084491729736,0.061848288317462315,ball_tree,130,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 130, 'weights': 'uniform'}",0.5967153284671532,0.6897810218978102,0.7135036496350365,0.7153284671532847,0.6983546617915904,0.682736625788975,0.04405008067621868,10,0.7307165677772707,0.6932907348242812,0.7042446371519854,0.7051574623459608,0.6865875912408759,0.7039993986680748,0.015053603540724943
4,0.031226301193237306,0.00040284185799439946,0.5153401851654053,0.019499789387365202,ball_tree,141,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 141, 'weights': 'uniform'}",0.5912408759124088,0.7171532846715328,0.7098540145985401,0.708029197080292,0.7020109689213894,0.6856576682368326,0.04745499647195036,1,0.7311729803742584,0.6932907348242812,0.7042446371519854,0.7060702875399361,0.6824817518248175,0.7034520783430557,0.016241545952746263
5,0.03150792121887207,0.0008064384632189359,0.4982746124267578,0.004504985119642303,ball_tree,151,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 151, 'weights': 'uniform'}",0.5894160583941606,0.7116788321167883,0.708029197080292,0.7153284671532847,0.6910420475319927,0.6830989204553036,0.0475744587678255,7,0.7279780921953446,0.6910086718393428,0.700593336376084,0.6960292104062072,0.6838503649635036,0.6998919351560964,0.015102908096103741
6,0.03191938400268555,0.001782977005847843,0.5071120262145996,0.013329658295399878,ball_tree,161,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 161, 'weights': 'uniform'}",0.5821167883211679,0.718978102189781,0.7025547445255474,0.7153284671532847,0.6819012797074955,0.6801758763794552,0.05071625552604486,16,0.7261524418073939,0.6923779096303058,0.700593336376084,0.6942035600182564,0.6838503649635036,0.6994355225591088,0.014388987292479666
7,0.03062329292297363,0.0003953160533764763,0.5152446746826171,0.02275931074297739,ball_tree,171,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 171, 'weights': 'uniform'}",0.5948905109489051,0.7098540145985401,0.7153284671532847,0.7153284671532847,0.6837294332723949,0.6838261786252819,0.04598216818541758,4,0.7270652670013692,0.6905522592423551,0.6996805111821086,0.6942035600182564,0.6824817518248175,0.6987966698537814,0.015199593907529726
8,0.03235416412353516,0.002472852729036264,0.5170388698577881,0.011086523743334785,ball_tree,182,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 182, 'weights': 'uniform'}",0.593065693430657,0.698905109489051,0.7062043795620438,0.7135036496350365,0.6837294332723949,0.6790816530778366,0.04412217750240911,22,0.7270652670013692,0.6923779096303058,0.6964856230031949,0.6896394340483797,0.6815693430656934,0.6974275153497885,0.015600755370333673
9,0.034901905059814456,0.00461567038798971,0.5818533420562744,0.042027299626898176,ball_tree,192,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 192, 'weights': 'uniform'}",0.593065693430657,0.6916058394160584,0.708029197080292,0.7025547445255474,0.6873857404021938,0.6765282429709497,0.04238137617814507,31,0.7229575536284801,0.686444545869466,0.6900958466453674,0.6891830214513921,0.6820255474452555,0.6941413030079921,0.014678952117263914
10,0.041391420364379886,0.006418280497489108,0.5964359760284423,0.05278866713805938,ball_tree,202,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 202, 'weights': 'uniform'}",0.5894160583941606,0.698905109489051,0.7116788321167883,0.7062043795620438,0.6892138939670932,0.6790836547058274,0.04546156388138122,19,0.7229575536284801,0.6882701962574167,0.6896394340483797,0.6914650844363305,0.6751824817518248,0.6935029500244863,0.015809330125200142
11,0.04049859046936035,0.013683628522812187,0.6199505805969239,0.10038106381701006,ball_tree,212,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 212, 'weights': 'uniform'}",0.583941605839416,0.6952554744525548,0.698905109489051,0.6970802919708029,0.680073126142596,0.6710511215788841,0.04406512759663068,34,0.7193062528525788,0.682336832496577,0.6869009584664537,0.6914650844363305,0.6820255474452555,0.6924069351394391,0.013884929477657145
