,Cross Correlation Sim 12,Cross Correlation Sim 13,Cross Correlation Sim 4,Cross Correlation Sim 10,Cross Correlation Sim 16,Cross Correlation Sim 6,Cross Correlation Sim 18,Cross Correlation Sim 19,Unnamed: 0,Cross Correlation Sim 5,Cross Correlation Sim 20,Cross Correlation Sim 7,Cross Correlation Sim 9,Time Elapsed,Cross Correlation Sim 1,Cross Correlation Sim 11,Cross Correlation Sim 2,Cross Correlation Sim 17,Cross Correlation Sim 15,Cross Correlation Sim 3,Cross Correlation Sim 14,Cross Correlation Sim 8
0,-131.29558025979887,-1.062035825678149,-85.35642556707253,2.5169765890099,62.46006771597223,34.950186905323925,-30.851596853393733,-62.14450280763253,0.0,35.89819240180758,280.1733324002039,57.22588960625535,-95.920087158643,0.0,87.03365607800299,-146.40169366976443,-220.7812265197456,-284.23384544013726,275.56530932587293,196.1901955240032,-0.6755762967742923,-12.182040769668042
1,181.9209853109722,-48.82228960282523,-152.29335131967875,-23.11116993135853,253.0967948235945,-103.60375548245064,-110.63700606730566,211.9492857609528,1.0,-55.60630774856563,243.36128392029505,-23.469625938717257,375.6936164190938,1.0,58.54772464278711,384.797559142378,-52.97158490399266,-355.43351272682213,47.0104953625712,125.53735066943376,-16.14594762911958,28.74736538090274
2,40.16120525366268,-462.0254018160691,-71.4528144228179,39.08570687195,-159.4766637245035,133.48906582514283,-300.1691163502093,454.56521708221135,2.0,176.28495455766975,504.8157700236845,297.109894038168,-35.49777548745803,2.0,-160.3669577290508,19.12837896501105,-199.9463349216604,801.2910842625749,-59.17808185669186,147.4910676695708,113.37332706941548,190.35292082015368
3,-1.2784333487532054,800.6520873875245,-50.16502097096226,79.49401732696447,471.65177371076095,-219.95380827345343,-236.86633034915857,259.4680621871486,3.0,-378.6251650549691,-560.9610404622158,-381.486706969155,-257.1781774009301,3.0,60.05543896422181,750.9536309220246,218.6178518027423,1118.2424749855454,-27.346918039110005,15.15551129744396,-67.93313224247927,548.374825494711
4,325.5149957045885,358.942397633995,-324.1734971037721,-199.1857373279776,316.67377601152464,240.4334728309917,-8.236697756679225,276.7193730450743,4.0,393.5719031271999,145.46050448352628,163.0716753390447,-310.9410601465217,4.0,-438.4154629780974,-1123.6016424375491,-416.4427666548355,208.89369356095,62.408163306020754,-50.165886365409,-177.85072959368273,640.2086283069065
5,224.23228939585272,526.0558290385278,-480.8016552994658,54.57636590707549,100.64044655555831,-49.3690041936,297.11139275450057,229.0881244158149,5.0,-235.37532623650625,-269.50227895480646,-462.00242411857215,-649.7989474330617,5.0,-365.043113539085,-399.7800542911679,-519.8510301971448,-458.4481474469328,141.69438209952122,842.8052789027996,-202.00318696162665,663.5703497140183
6,190.28669972552007,271.0727964453663,98.59779370897164,-116.22492772139428,840.7747165864724,-144.48024632341233,-30.46289239284659,264.1953218515094,6.0,53.92107795737876,801.153637624861,-412.855246506932,-227.81426976817548,6.0,-388.8856883695495,160.1567541295739,-234.09940933679857,37.0349275394996,273.92605025510125,192.01273697021608,-347.484068049161,217.6896014523335
7,28.6805268906988,950.0788168503212,220.45220537771684,643.6631363683891,-217.96899912814737,-120.1313539177954,-290.4748080864766,149.64903420297642,7.0,178.61153564612272,-547.1887617040412,910.1087008808112,552.8656644717345,7.0,67.20389810331729,-1.9493487628960944,307.457646188158,1116.3533750449612,-107.51015032351022,56.18283506145868,-540.9206776753051,-486.0212017658888
8,172.47117334204407,125.20653243063713,442.1501872771771,-608.248253206796,829.0813837247717,-20.10231817305969,-188.78582307132623,-375.646316024053,8.0,-315.00573136879405,160.88471306755233,-980.8256771922826,179.80929809266374,8.0,-69.03982397839414,-491.9372693003213,524.3038440834819,539.1048961003232,-339.88617100828384,-384.6152110515059,-25.45419010731617,-1693.473215078103
9,106.9469895105942,1080.1009878629625,426.27990016696987,419.5348137410027,752.5326238560198,37.36235852822156,721.4314307003772,110.83828503216782,9.0,244.90897993213443,-341.84272821843376,796.5419032743457,219.91288361603304,9.0,395.9058939834023,1001.9699647119672,208.9079864816238,-652.7013470834664,-424.0644979897606,-34.46944522450985,-1041.830864452376,-1970.13951328497
