,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.3655560493469239,0.012521950292046394,0.10211853981018067,0.0013431029023945275,1447,13,18,3,False,"{'n_estimators': 1447, 'min_samples_split': 13, 'min_samples_leaf': 18, 'max_depth': 3, 'bootstrap': False}",0.6124031007751938,0.6072351421188631,0.5621761658031088,0.6036269430051814,0.572538860103627,0.5915960423611948,0.02025321220779814,96,0.6116504854368932,0.6194174757281553,0.6203104786545925,0.6060802069857697,0.6261319534282018,0.6167181200467224,0.007037868075316651
1,1.7387567520141602,0.0041175932520326995,0.1140977382659912,0.00978743022459576,1386,40,16,6,False,"{'n_estimators': 1386, 'min_samples_split': 40, 'min_samples_leaf': 16, 'max_depth': 6, 'bootstrap': False}",0.6459948320413437,0.6356589147286822,0.5958549222797928,0.6269430051813472,0.6010362694300518,0.6210975887322434,0.019522922805792764,60,0.6776699029126214,0.6822006472491909,0.6953428201811126,0.6921086675291074,0.7011642949547219,0.6896972665653508,0.008602751279974409
2,1.8508432388305665,0.007722933072061167,0.1434169292449951,0.009615556268101766,1959,36,8,3,False,"{'n_estimators': 1959, 'min_samples_split': 36, 'min_samples_leaf': 8, 'max_depth': 3, 'bootstrap': False}",0.6149870801033591,0.6020671834625323,0.5673575129533679,0.6010362694300518,0.572538860103627,0.5915973812105877,0.018420563640783174,95,0.6110032362459547,0.623948220064725,0.6203104786545925,0.6067270375161707,0.6261319534282018,0.6176241851819289,0.007512343208540241
3,0.29920010566711425,0.0014105707271715466,0.02134280204772949,0.0004885776558898482,311,17,2,3,True,"{'n_estimators': 311, 'min_samples_split': 17, 'min_samples_leaf': 2, 'max_depth': 3, 'bootstrap': True}",0.6020671834625323,0.6124031007751938,0.5595854922279793,0.6191709844559585,0.5777202072538861,0.59418939363511,0.022300415569867737,92,0.6090614886731391,0.6207119741100323,0.6222509702457956,0.6203104786545925,0.6241914618369987,0.6193052747041117,0.005300496908232565
4,1.229712152481079,0.012083738365768641,0.08656864166259766,0.0007463019234246369,1195,28,18,4,True,"{'n_estimators': 1195, 'min_samples_split': 28, 'min_samples_leaf': 18, 'max_depth': 4, 'bootstrap': True}",0.627906976744186,0.627906976744186,0.582901554404145,0.6217616580310881,0.5958549222797928,0.6112664176406796,0.018471849615525733,83,0.6355987055016181,0.6375404530744336,0.6410090556274256,0.6507115135834411,0.6494178525226391,0.6428555160619116,0.0061498222264881565
5,1.5488614559173584,0.004762617333283822,0.08836154937744141,0.0004867279736736782,1024,41,2,15,False,"{'n_estimators': 1024, 'min_samples_split': 41, 'min_samples_leaf': 2, 'max_depth': 15, 'bootstrap': False}",0.6537467700258398,0.6382428940568475,0.5906735751295337,0.6191709844559585,0.6036269430051814,0.6210922333346722,0.022779316321041704,64,0.7482200647249191,0.7449838187702266,0.7548512289780077,0.7548512289780077,0.7548512289780077,0.7515515140858338,0.004168873509999822
6,1.3910840988159179,0.014942239533724555,0.09494295120239257,0.0009776622453736056,1145,15,14,11,True,"{'n_estimators': 1145, 'min_samples_split': 15, 'min_samples_leaf': 14, 'max_depth': 11, 'bootstrap': True}",0.6356589147286822,0.6511627906976745,0.5932642487046632,0.6269430051813472,0.6139896373056994,0.6242037193236133,0.019632091237460993,33,0.6906148867313916,0.6983818770226538,0.6979301423027167,0.703751617076326,0.7134540750323415,0.7008265196330858,0.0075717115114787865
7,0.46296215057373047,0.003241174331695131,0.030518388748168944,0.0004885971129893826,371,32,4,8,True,"{'n_estimators': 371, 'min_samples_split': 32, 'min_samples_leaf': 4, 'max_depth': 8, 'bootstrap': True}",0.6459948320413437,0.6408268733850129,0.6036269430051814,0.6243523316062176,0.6191709844559585,0.6267943928987428,0.015273363258162318,6,0.7061488673139159,0.7029126213592233,0.7018111254851229,0.7115135834411385,0.7166882276843467,0.7078148850567494,0.005572602849635577
8,1.0709377765655517,0.007284474677780285,0.06662087440490723,0.0003985453747069485,843,33,14,6,False,"{'n_estimators': 843, 'min_samples_split': 33, 'min_samples_leaf': 14, 'max_depth': 6, 'bootstrap': False}",0.6459948320413437,0.6356589147286822,0.5984455958549223,0.6295336787564767,0.5958549222797928,0.6210975887322434,0.02026513037218342,60,0.6815533980582524,0.6815533980582524,0.6959896507115135,0.6972833117723156,0.6998706338939198,0.6912500784988508,0.008015343373115172
9,0.15099639892578126,0.0007980704356524074,0.011568975448608399,0.0004886750034333907,160,31,2,3,False,"{'n_estimators': 160, 'min_samples_split': 31, 'min_samples_leaf': 2, 'max_depth': 3, 'bootstrap': False}",0.6149870801033591,0.5968992248062015,0.5595854922279793,0.5958549222797928,0.5647668393782384,0.5864187117591142,0.020994571396325303,99,0.6122977346278318,0.6181229773462783,0.6261319534282018,0.6054333764553687,0.628072445019405,0.6180116973754171,0.008462069630997259
10,1.898922872543335,0.01119458829319328,0.12925448417663574,0.0014929989249980549,1698,31,8,5,True,"{'n_estimators': 1698, 'min_samples_split': 31, 'min_samples_leaf': 8, 'max_depth': 5, 'bootstrap': True}",0.6356589147286822,0.648578811369509,0.5984455958549223,0.6373056994818653,0.6010362694300518,0.6242050581730061,0.02048043040718555,32,0.6647249190938511,0.6692556634304208,0.6720569210866753,0.6746442432082794,0.6739974126778784,0.6709358318994211,0.003627143124473633
