,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,55.74072623252869,3.169894344444354,0.1364307403564453,0.008005693709852218,1270,22,19,19,entropy,False,"{'n_estimators': 1270, 'min_samples_split': 22, 'min_samples_leaf': 19, 'max_depth': 19, 'criterion': 'entropy', 'bootstrap': False}",0.6916058394160584,0.6879562043795621,0.6952554744525548,0.7111517367458866,0.70018281535649,0.6972304140701103,0.008050678111999669,1,0.8328767123287671,0.8401826484018264,0.836986301369863,0.83888635326335,0.83888635326335,0.8375636737254313,0.0025557369444624543
1,55.70888538360596,2.5436842766689023,0.2574873924255371,0.02990525114102003,2350,35,23,21,entropy,True,"{'n_estimators': 2350, 'min_samples_split': 35, 'min_samples_leaf': 23, 'max_depth': 21, 'criterion': 'entropy', 'bootstrap': True}",0.6879562043795621,0.6788321167883211,0.6843065693430657,0.7093235831809872,0.6910420475319927,0.6902921042447858,0.010347695146026428,6,0.7726027397260274,0.7776255707762557,0.7748858447488585,0.7704244637151986,0.7745321770880876,0.7740141592108856,0.002406179145728513
2,31.0498526096344,1.213311610726887,0.22908754348754884,0.023423696937991654,2140,35,48,27,gini,False,"{'n_estimators': 2140, 'min_samples_split': 35, 'min_samples_leaf': 48, 'max_depth': 27, 'criterion': 'gini', 'bootstrap': False}",0.677007299270073,0.6697080291970803,0.6697080291970803,0.696526508226691,0.6928702010968921,0.6811640133975633,0.01142627234200205,10,0.7525114155251141,0.7666666666666667,0.7584474885844749,0.7567320858055683,0.7590141487905067,0.7586743610744662,0.004599961012057764
3,11.567701625823975,0.5295184207589853,0.030818653106689454,0.0023344946743213647,280,39,27,27,entropy,False,"{'n_estimators': 280, 'min_samples_split': 39, 'min_samples_leaf': 27, 'max_depth': 27, 'criterion': 'entropy', 'bootstrap': False}",0.6897810218978102,0.6861313868613139,0.6788321167883211,0.7074954296160878,0.6946983546617916,0.691387661965065,0.009573633581757494,5,0.7890410958904109,0.7977168949771689,0.7958904109589041,0.7941579187585578,0.8014605203103605,0.7956533681790805,0.004098679343168352
4,12.566136837005615,0.5369487824135997,0.053285646438598636,0.001442112023264432,510,41,19,9,log_loss,True,"{'n_estimators': 510, 'min_samples_split': 41, 'min_samples_leaf': 19, 'max_depth': 9, 'criterion': 'log_loss', 'bootstrap': True}",0.6952554744525548,0.6806569343065694,0.6788321167883211,0.7129798903107861,0.7056672760511883,0.6946783383818839,0.013444248965158102,3,0.7757990867579909,0.7780821917808219,0.7748858447488585,0.7745321770880876,0.776814240073026,0.776022708089757,0.001298625687189157
5,30.56424264907837,0.26962739760452903,0.14202938079833985,0.006262016116652324,1270,12,28,30,entropy,True,"{'n_estimators': 1270, 'min_samples_split': 12, 'min_samples_leaf': 28, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}",0.6824817518248175,0.677007299270073,0.6697080291970803,0.7056672760511883,0.696526508226691,0.68627817291397,0.01308355663535951,8,0.7584474885844749,0.7639269406392694,0.7579908675799086,0.7571884984025559,0.7549064354176175,0.7584920461247653,0.002978156627825278
6,25.936407470703124,0.8624734334078746,0.11856813430786133,0.007813506661960259,1160,30,29,26,entropy,True,"{'n_estimators': 1160, 'min_samples_split': 30, 'min_samples_leaf': 29, 'max_depth': 26, 'criterion': 'entropy', 'bootstrap': True}",0.6824817518248175,0.6788321167883211,0.6715328467153284,0.7074954296160878,0.6983546617915904,0.6877393613472291,0.013210748782746747,7,0.7557077625570776,0.763013698630137,0.7529680365296804,0.7571884984025559,0.7526243724326791,0.756300473710426,0.0037636721790196663
7,29.70544476509094,0.7543168078320972,0.14219460487365723,0.009716693573695319,1330,31,25,28,log_loss,True,"{'n_estimators': 1330, 'min_samples_split': 31, 'min_samples_leaf': 25, 'max_depth': 28, 'criterion': 'log_loss', 'bootstrap': True}",0.6824817518248175,0.6824817518248175,0.6733576642335767,0.720292504570384,0.6983546617915904,0.6913936668490372,0.016539287296481128,4,0.7662100456621005,0.7744292237442922,0.7689497716894977,0.764034687357371,0.7690552259242355,0.7685357908754995,0.0034883453826058466
8,14.189352464675903,0.1758745437779871,0.09547615051269531,0.01056396432635047,870,48,20,19,gini,False,"{'n_estimators': 870, 'min_samples_split': 48, 'min_samples_leaf': 20, 'max_depth': 19, 'criterion': 'gini', 'bootstrap': False}",0.6879562043795621,0.6824817518248175,0.6897810218978102,0.7129798903107861,0.7111517367458866,0.6968701210317725,0.012650909996344389,2,0.8182648401826484,0.8301369863013699,0.8246575342465754,0.8238247375627568,0.8283888635326335,0.8250545923651968,0.004116285340583596
9,45.41802444458008,1.1450343106800545,0.21538381576538085,0.005163518737606646,2260,25,41,19,log_loss,True,"{'n_estimators': 2260, 'min_samples_split': 25, 'min_samples_leaf': 41, 'max_depth': 19, 'criterion': 'log_loss', 'bootstrap': True}",0.6806569343065694,0.6678832116788321,0.666058394160584,0.7038391224862889,0.696526508226691,0.682992834171793,0.015088144010902634,9,0.7374429223744292,0.7374429223744292,0.7333333333333333,0.7307165677772707,0.7361935189411227,0.735025852960117,0.0026261170737250914
