,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
86,0.28743696212768555,0.023535998423753146,0.036114835739135744,0.0024739479412016594,5,2.0939393939393938,"{'degree': 5, 'C': 2.0939393939393938}",0.6356589147286822,0.6356589147286822,0.6217616580310881,0.6787564766839378,0.6450777202072538,0.6433827368759288,0.019188331579569933,68,0.8181229773462784,0.8187702265372169,0.8318240620957309,0.8227684346701164,0.8298835705045278,0.8242738542307742,0.005636737491975248
87,0.17651610374450682,0.010095896840509745,0.03769869804382324,0.0027066117995091597,1,0.10060606060606062,"{'degree': 1, 'C': 0.10060606060606062}",0.7260981912144703,0.7260981912144703,0.6735751295336787,0.7072538860103627,0.7072538860103627,0.7080558567966688,0.019189885509593083,40,0.7262135922330097,0.7184466019417476,0.723156532988357,0.7276843467011643,0.7212160413971539,0.7233434230522865,0.0033352968936084296
88,0.2227933406829834,0.031268951996817645,0.03670182228088379,0.0049016008141053976,3,0.6442424242424243,"{'degree': 3, 'C': 0.6442424242424243}",0.7209302325581395,0.7157622739018088,0.6787564766839378,0.727979274611399,0.7383419689119171,0.7163540453334404,0.020265653655161933,31,0.8103559870550162,0.8084142394822007,0.8253557567917206,0.8163001293661061,0.8279430789133247,0.8176738383216737,0.007818533978095354
89,0.22061142921447754,0.028185771454800706,0.043480634689331055,0.006582707508992526,3,0.9764646464646466,"{'degree': 3, 'C': 0.9764646464646466}",0.7235142118863049,0.7157622739018088,0.6813471502590673,0.727979274611399,0.7409326424870466,0.7179071106291254,0.02002145956708092,26,0.8349514563106796,0.8323624595469256,0.8447606727037517,0.8408796895213454,0.8486416558861578,0.8403191867937719,0.006023727935584579
90,0.3157478332519531,0.031510559108821244,0.04907736778259277,0.008675360740660982,4,2.5771717171717174,"{'degree': 4, 'C': 2.5771717171717174}",0.689922480620155,0.7002583979328165,0.655440414507772,0.7176165803108808,0.7072538860103627,0.6940983518763975,0.021335394708366415,42,0.8724919093851132,0.8634304207119741,0.8829236739974127,0.8771021992238034,0.8829236739974127,0.8757743754631433,0.007309389269370151
91,0.162164306640625,0.0321491088194644,0.03729996681213379,0.006030224759674226,1,1.6711111111111112,"{'degree': 1, 'C': 1.6711111111111112}",0.7312661498708011,0.7286821705426356,0.7046632124352331,0.7020725388601037,0.7305699481865285,0.7194508039790604,0.013184330527492552,23,0.8401294498381877,0.8478964401294499,0.8505821474773609,0.8486416558861578,0.851875808538163,0.8478251003738638,0.004096448090623359
92,0.3518517017364502,0.03237389980304206,0.05128355026245117,0.010689735672520486,4,0.6442424242424243,"{'degree': 4, 'C': 0.6442424242424243}",0.661498708010336,0.661498708010336,0.6476683937823834,0.689119170984456,0.6917098445595855,0.6702989650694192,0.017202660937287045,60,0.7838187702265372,0.7805825242718447,0.797542043984476,0.7884864165588615,0.8078913324708926,0.7916642175025224,0.00992291782698318
93,0.358232307434082,0.05468483279848433,0.04348545074462891,0.0034323336556831966,5,1.3690909090909094,"{'degree': 5, 'C': 1.3690909090909094}",0.6227390180878553,0.6124031007751938,0.6217616580310881,0.6632124352331606,0.6321243523316062,0.6304481128917808,0.017531786561443222,77,0.7870550161812297,0.7922330097087379,0.8027166882276844,0.796248382923674,0.7994825355756792,0.795547126523401,0.005486002703317749
94,0.20903902053833007,0.029355045930632918,0.043085908889770506,0.009128108823921472,2,1.761717171717172,"{'degree': 2, 'C': 1.761717171717172}",0.7260981912144703,0.7131782945736435,0.7124352331606217,0.7305699481865285,0.7512953367875648,0.7267154007845658,0.014188644538310577,3,0.8750809061488674,0.8763754045307444,0.8803363518758085,0.8764553686934023,0.8906856403622251,0.8797867343222097,0.005726573478447094
95,0.37578544616699217,0.030063552457848728,0.06024889945983887,0.014860768752366384,6,0.8556565656565658,"{'degree': 6, 'C': 0.8556565656565658}",0.48578811369509045,0.5271317829457365,0.5051813471502591,0.533678756476684,0.5310880829015544,0.5165736166338649,0.018397072653701288,94,0.6731391585760518,0.7061488673139159,0.6908150064683053,0.6992238033635187,0.703104786545925,0.6944863244535433,0.011848346449865325
96,0.16496777534484863,0.018663848401825615,0.03011746406555176,0.002313661267227156,2,2.3053535353535355,"{'degree': 2, 'C': 2.3053535353535355}",0.7209302325581395,0.7183462532299741,0.7098445595854922,0.7227979274611399,0.7461139896373057,0.7236065924944103,0.012095160079599102,10,0.8951456310679612,0.8944983818770227,0.9042690815006468,0.8926261319534282,0.9087968952134541,0.8990672243225026,0.00631611747200241
97,0.15378665924072266,0.015070536767336417,0.02911553382873535,0.0019386021040959287,2,1.48989898989899,"{'degree': 2, 'C': 1.48989898989899}",0.7312661498708011,0.7157622739018088,0.7098445595854922,0.7253886010362695,0.7487046632124352,0.7261932495213613,0.01348503198739598,4,0.8634304207119741,0.8627831715210356,0.8732212160413971,0.8667529107373868,0.8777490297542044,0.8687873497531996,0.005811310795464373
98,0.2437614917755127,0.017673108633898958,0.03271417617797852,0.0011605921724318886,4,1.6711111111111112,"{'degree': 4, 'C': 1.6711111111111112}",0.6847545219638242,0.6950904392764858,0.6528497409326425,0.7124352331606217,0.6994818652849741,0.6889223601237097,0.020104766988783412,51,0.8446601941747572,0.8414239482200647,0.8641655886157826,0.8557567917205692,0.8589909443725744,0.8529994934207495,0.008622285299549736
99,0.30577998161315917,0.014492637899940026,0.04048256874084473,0.0020614442418182308,5,0.34222222222222226,"{'degree': 5, 'C': 0.34222222222222226}",0.5193798449612403,0.5633074935400517,0.5284974093264249,0.5777202072538861,0.5518134715025906,0.5481436853168388,0.021594044237548564,89,0.6271844660194175,0.6880258899676376,0.6604139715394567,0.6772315653298836,0.6746442432082794,0.665500027212935,0.02108369207463691
