,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.42368249893188475,0.011087849665145231,0.000792694091796875,0.0003965857081419974,best,44,32,16,log_loss,"{'splitter': 'best', 'min_samples_split': 44, 'min_samples_leaf': 32, 'max_depth': 16, 'criterion': 'log_loss'}",0.5164233576642335,0.5164233576642335,0.49635036496350365,0.5283363802559415,0.5374771480804388,0.5190021217256702,0.013819241033434576,158,0.6264840182648402,0.6191780821917808,0.6360730593607306,0.629849383842994,0.6376083979917846,0.629838588330426,0.006695344938112674
1,0.16564602851867677,0.003751885344458645,0.0005964756011962891,0.00048703551638911417,best,15,22,10,gini,"{'splitter': 'best', 'min_samples_split': 15, 'min_samples_leaf': 22, 'max_depth': 10, 'criterion': 'gini'}",0.5200729927007299,0.5401459854014599,0.5164233576642335,0.49177330895795246,0.5411334552102377,0.5219098199869227,0.01813168707275897,130,0.6168949771689498,0.6091324200913242,0.6182648401826484,0.6038338658146964,0.6001825650387951,0.6096617336592828,0.007077176099622547
2,0.35762910842895507,0.01314426155871691,0.0007957935333251954,0.00039791014882140574,best,45,50,7,entropy,"{'splitter': 'best', 'min_samples_split': 45, 'min_samples_leaf': 50, 'max_depth': 7, 'criterion': 'entropy'}",0.4416058394160584,0.4908759124087591,0.4744525547445255,0.44789762340036565,0.4990859232175503,0.4707835706374518,0.02277407905478399,273,0.5219178082191781,0.5547945205479452,0.5310502283105023,0.5417617526243724,0.5385668644454586,0.5376182348294913,0.010979394649306156
3,0.4672087669372559,0.020513314653514445,0.00019927024841308593,0.00039854049682617185,best,15,19,15,entropy,"{'splitter': 'best', 'min_samples_split': 15, 'min_samples_leaf': 19, 'max_depth': 15, 'criterion': 'entropy'}",0.551094890510949,0.5182481751824818,0.5218978102189781,0.5539305301645339,0.5411334552102377,0.5372609722574361,0.014708914166015177,53,0.6853881278538813,0.6534246575342466,0.6904109589041096,0.6832496576905522,0.6732085805568234,0.6771363965079227,0.013109930149353504
4,0.007484912872314453,0.00044645038546385136,0.0009969234466552734,2.972497439481487e-06,random,24,33,6,log_loss,"{'splitter': 'random', 'min_samples_split': 24, 'min_samples_leaf': 33, 'max_depth': 6, 'criterion': 'log_loss'}",0.4324817518248175,0.4416058394160584,0.4489051094890511,0.4515539305301645,0.473491773308958,0.4496076809138099,0.013653265384019689,284,0.4785388127853881,0.4858447488584475,0.4963470319634703,0.4815152898219991,0.492925604746691,0.48703429763519923,0.0067153891401567755
5,0.006780433654785156,0.00039630301403501537,0.00039844512939453126,0.0004879969834827502,random,17,24,5,log_loss,"{'splitter': 'random', 'min_samples_split': 17, 'min_samples_leaf': 24, 'max_depth': 5, 'criterion': 'log_loss'}",0.4251824817518248,0.41605839416058393,0.39963503649635035,0.396709323583181,0.4351005484460695,0.4145371568876019,0.014686013817084492,295,0.4502283105022831,0.47442922374429225,0.46757990867579907,0.4221816522136011,0.4450022820629849,0.45188427543979215,0.01836832859005723
6,0.38975090980529786,0.015480347900327736,0.00019230842590332032,0.0003846168518066407,best,47,48,20,log_loss,"{'splitter': 'best', 'min_samples_split': 47, 'min_samples_leaf': 48, 'max_depth': 20, 'criterion': 'log_loss'}",0.5072992700729927,0.5145985401459854,0.5018248175182481,0.5319926873857403,0.5374771480804388,0.5186384926406811,0.013862382997079347,161,0.5831050228310503,0.591324200913242,0.5986301369863014,0.6033774532177089,0.5700593336376084,0.5892992295171822,0.011814436218809237
7,0.4170804500579834,0.018003752339666133,0.0006945133209228516,0.0005982845819680325,best,46,34,24,log_loss,"{'splitter': 'best', 'min_samples_split': 46, 'min_samples_leaf': 34, 'max_depth': 24, 'criterion': 'log_loss'}",0.5145985401459854,0.5182481751824818,0.4981751824817518,0.5374771480804388,0.5283363802559415,0.5193670852293198,0.013277879000150207,154,0.6242009132420091,0.6100456621004566,0.6287671232876713,0.6362391602008215,0.6339570972158831,0.6266419912093684,0.009290098131035296
8,0.44368853569030764,0.011380850148660816,0.0005922794342041015,0.000483726241833962,best,34,22,10,entropy,"{'splitter': 'best', 'min_samples_split': 34, 'min_samples_leaf': 22, 'max_depth': 10, 'criterion': 'entropy'}",0.5109489051094891,0.5164233576642335,0.4981751824817518,0.5319926873857403,0.5246800731261426,0.5164440411534714,0.01160638416930078,180,0.6328767123287671,0.6264840182648402,0.6333333333333333,0.639890460976723,0.6371519853947969,0.6339473020596922,0.004534641290395287
9,0.4615142822265625,0.01542797737894765,0.000399017333984375,0.0004886945264472148,best,40,21,24,entropy,"{'splitter': 'best', 'min_samples_split': 40, 'min_samples_leaf': 21, 'max_depth': 24, 'criterion': 'entropy'}",0.5255474452554745,0.5273722627737226,0.5237226277372263,0.5648994515539305,0.5301645338208409,0.534341264228239,0.015426610540589967,66,0.6721461187214612,0.6488584474885845,0.6762557077625571,0.6754906435417618,0.6649931538110452,0.667548814265082,0.010157549561752355
