,Time Elapsed,Cross Correlation Sim 1
0,0,-36.10343371886851
1,1,115.14466052004296
2,2,66.57171960537306
3,3,-330.40378717425875
4,4,-188.927415261191
5,5,262.2707316482602
6,6,173.63053514319523
7,7,-227.6694304289322
8,8,112.36987897439442
9,9,233.23536820657344
10,10,236.2589046679474
11,11,184.5321873370259
12,12,250.3766439035442
13,13,279.91692675837066
14,14,-464.1560805719276
15,15,-759.8353616155803
16,16,-51.52962017337179
17,17,-1184.6511424234395
18,18,1114.6853145769285
19,19,504.24949289239174
20,20,1609.6273181635718
21,21,40.68905881880698
22,22,-345.6150726097065
23,23,43.32731460858694
24,24,695.4692178465401
25,25,495.88784941013256
26,26,-1519.9356345666124
27,27,2084.511175173179
28,28,-994.0278427876001
29,29,905.5372975870933
30,30,-1475.6167114732718
31,31,-323.2825528695737
32,32,593.9650431452332
33,33,928.6169308269161
34,34,720.3020524680642
35,35,-1597.9058630925783
36,36,1088.8589538591284
37,37,1271.385577845701
38,38,2453.707211957736
39,39,-1155.2242162274927
40,40,-130.78872568652122
41,41,1436.0622483011834
42,42,-1491.5171061535395
43,43,265.05763280264375
44,44,-1831.7092228084005
45,45,1002.3676967249718
46,46,677.4812336449037
47,47,665.8018587185924
48,48,926.3137766206426
49,49,-725.4429808929859
50,50,1671.3334813910521
51,51,-833.659566639842
52,52,370.23837877366753
53,53,-70.34452243501205
54,54,1229.1526937651017
55,55,977.7707817220123
56,56,560.9117700000237
57,57,1711.1728862030432
58,58,457.021167002123
59,59,1650.54765752247
60,60,596.1658139983526
61,61,603.1168014235174
62,62,-387.1480585733736
63,63,898.3057023680503
64,64,-240.74485864469878
65,65,-2306.024818814379
66,66,-356.0199588421126
67,67,-671.7705225738482
68,68,-641.1491908789726
69,69,642.1579753892769
70,70,2883.387943887927
71,71,-633.0136182309992
72,72,1866.0648678802463
73,73,1326.857108328175
74,74,1897.232265964122
75,75,4309.179717233539
76,76,1140.4923801957832
77,77,3223.6430764907313
78,78,2980.1954445997317
79,79,3685.914171393235
80,80,1183.2578496870053
81,81,3738.3245136805012
82,82,-729.1510012268859
83,83,2139.1968616643517
84,84,-470.8829387326738
85,85,1565.851324998237
86,86,3030.538403305086
87,87,1068.5741477654315
88,88,3603.151147603995
89,89,6328.945359538918
90,90,7917.379818268276
91,91,8526.472708930352
92,92,11980.908700309741
93,93,11923.361671758707
94,94,11821.549341322701
95,95,13723.333990107902
