,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0015861034393310548,0.0004998540348587999,0.0680325984954834,0.03892787756714383,uniform,479,brute,"{'weights': 'uniform', 'n_neighbors': 479, 'algorithm': 'brute'}",0.6375227686703097,0.6120218579234973,0.6320582877959927,0.6368613138686131,0.6751824817518248,0.6387293420020475,0.02045272312409814,50,0.6431175934366454,0.6435733819507748,0.650865998176846,0.6451025056947608,0.6410022779043281,0.644732351432671,0.0033353482196799623
1,0.015956830978393555,0.0040387418678024855,0.23727788925170898,0.019142331875548417,uniform,264,kd_tree,"{'weights': 'uniform', 'n_neighbors': 264, 'algorithm': 'kd_tree'}",0.6739526411657559,0.6812386156648452,0.6994535519125683,0.6551094890510949,0.6843065693430657,0.6788121734274659,0.01447463170255056,15,0.6873290793072014,0.686873290793072,0.6955332725615314,0.689749430523918,0.6883826879271071,0.689573552222566,0.0031399499333964304
2,0.009098434448242187,0.000999217340569791,0.1676870346069336,0.00273334660154115,uniform,335,ball_tree,"{'weights': 'uniform', 'n_neighbors': 335, 'algorithm': 'ball_tree'}",0.6648451730418944,0.6429872495446266,0.6757741347905283,0.6587591240875912,0.6916058394160584,0.6667943041761398,0.016318018999171287,26,0.6736554238833181,0.6736554238833181,0.6823154056517776,0.6810933940774487,0.6669703872437358,0.6755380069479197,0.005608704034547754
3,0.0015964984893798828,0.0004891426480887843,0.04607701301574707,0.002474797378353981,uniform,264,brute,"{'weights': 'uniform', 'n_neighbors': 264, 'algorithm': 'brute'}",0.6739526411657559,0.6812386156648452,0.6994535519125683,0.6551094890510949,0.6843065693430657,0.6788121734274659,0.01447463170255056,15,0.6873290793072014,0.686873290793072,0.6955332725615314,0.689749430523918,0.6883826879271071,0.689573552222566,0.0031399499333964304
4,0.009583377838134765,0.0010218966251699393,0.15893516540527344,0.010001368295163935,uniform,212,ball_tree,"{'weights': 'uniform', 'n_neighbors': 212, 'algorithm': 'ball_tree'}",0.6721311475409836,0.6721311475409836,0.6958105646630237,0.6697080291970803,0.6916058394160584,0.680277345671626,0.011081942081231333,11,0.6937101185050136,0.6905195989061076,0.6959890610756609,0.6915717539863325,0.6911161731207289,0.6925813411187687,0.0020151157824913634
5,0.012759113311767578,0.0007284314726382453,0.2324953556060791,0.005741000236418633,uniform,448,kd_tree,"{'weights': 'uniform', 'n_neighbors': 448, 'algorithm': 'kd_tree'}",0.6575591985428051,0.6174863387978142,0.6284153005464481,0.6368613138686131,0.6733576642335767,0.6427359631978515,0.02017202665213881,45,0.6476754785779398,0.6526891522333638,0.6554238833181404,0.650113895216401,0.647380410022779,0.6506565638737247,0.0030585386377254306
6,0.0011974334716796874,0.0003987091398654099,0.05016684532165527,0.004876928628419355,uniform,438,brute,"{'weights': 'uniform', 'n_neighbors': 438, 'algorithm': 'brute'}",0.6539162112932605,0.6284153005464481,0.6375227686703097,0.6423357664233577,0.6806569343065694,0.648569396247989,0.018029266346507467,42,0.6494986326344576,0.6531449407474932,0.6567912488605288,0.6546697038724374,0.6469248291571754,0.6522058710544185,0.0035551809251096033
7,0.0015957355499267578,0.0004885194474978898,0.05586509704589844,0.017455546048620717,uniform,489,brute,"{'weights': 'uniform', 'n_neighbors': 489, 'algorithm': 'brute'}",0.639344262295082,0.6156648451730419,0.6284153005464481,0.6332116788321168,0.6824817518248175,0.6398235677343014,0.02270444852658007,48,0.6431175934366454,0.6444849589790337,0.6504102096627165,0.6432801822323463,0.6373576309794988,0.6437301150580481,0.004156431856486088
8,0.009976768493652343,0.0015424086357020037,0.16424407958984374,0.0029908450774273213,uniform,264,ball_tree,"{'weights': 'uniform', 'n_neighbors': 264, 'algorithm': 'ball_tree'}",0.6739526411657559,0.6812386156648452,0.6994535519125683,0.6551094890510949,0.6843065693430657,0.6788121734274659,0.01447463170255056,15,0.6873290793072014,0.686873290793072,0.6955332725615314,0.689749430523918,0.6883826879271071,0.689573552222566,0.0031399499333964304
9,0.012790346145629882,0.0003896502957338586,0.19537558555603027,0.002153998764628358,uniform,130,kd_tree,"{'weights': 'uniform', 'n_neighbors': 130, 'algorithm': 'kd_tree'}",0.6812386156648452,0.6812386156648452,0.7122040072859745,0.6605839416058394,0.6916058394160584,0.6853742039275126,0.01677757381536336,6,0.6937101185050136,0.7000911577028259,0.7105742935278031,0.7029612756264237,0.7020501138952164,0.7018773918514565,0.0054173004727323055
10,0.00858321189880371,0.0007876101174345422,0.16057777404785156,0.0014171804744945776,uniform,305,ball_tree,"{'weights': 'uniform', 'n_neighbors': 305, 'algorithm': 'ball_tree'}",0.668488160291439,0.663023679417122,0.6867030965391621,0.6624087591240876,0.6970802919708029,0.6755407974685228,0.013909817471844504,20,0.6795806745670009,0.678669097538742,0.6886964448495898,0.6829157175398634,0.6797266514806378,0.6819177171951669,0.0036813915897174524
11,0.0012049198150634766,0.00039509422884742985,0.051068878173828124,0.00503311720610759,uniform,500,brute,"{'weights': 'uniform', 'n_neighbors': 500, 'algorithm': 'brute'}",0.639344262295082,0.6120218579234973,0.6284153005464481,0.635036496350365,0.6788321167883211,0.6387300067807427,0.022099397893502445,49,0.6390154968094804,0.6440291704649043,0.6490428441203282,0.642369020501139,0.6359908883826879,0.642089484055708,0.004445942126288845
